"psi_true","sigma_Y","n_reps","w_pi_glm","w_pi_int","w_pi_quad","w_pi_full","w_mu_glm","w_mu_int","w_mu_quad","w_mu_full","w_nu_glm","w_nu_int","w_nu_quad","w_nu_full"
-1,0.5,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.00770919688068332,0.0175944043035022,0.0193070418177205,0.955389356998094,0.0126155695365721,0.0345929197309685,0.0264329566925204,0.926358554039939
-1,1,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.0348689721243033,0.0531462585320873,0.0649910244429972,0.846993744900612,0.0352231999751091,0.0843946209346696,0.0651148481128096,0.815267330977412
-1,2,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.131821939534326,0.167093308426373,0.18119623680756,0.519888515231741,0.115614541947499,0.237179692716722,0.173201826317188,0.474003939018591
-0.5,0.5,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.00770919432798379,0.0175944123714313,0.0193070476906269,0.955389345609958,0.00703444434271575,0.0219240495642899,0.0170385720442734,0.954002934048721
-0.5,1,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.0348689486830319,0.0531463068486363,0.0649910618644229,0.846993682603909,0.0272223305544197,0.0656703035764763,0.0532074988250595,0.853899867044045
-0.5,2,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.13182184241305,0.167093484852253,0.181196367366647,0.519888305368049,0.0987961904228924,0.210490564306149,0.159581988456425,0.531131256814533
0,0.5,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.00770919167048479,0.0175944205560401,0.0193070536164366,0.955389334157039,0.0050035194524669,0.017215001909317,0.0137074230902058,0.96407405554801
0,1,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.0348689252991971,0.053146354924659,0.0649910990619229,0.846993620714221,0.0228140272411578,0.0558265301438533,0.0471213104270002,0.874238132187989
0,2,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.131821745492418,0.167093660272989,0.181196497342122,0.519888096892472,0.0871459282393136,0.188286397495467,0.148334977922681,0.576232696342538
0.5,0.5,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.00770918894794427,0.0175944288219724,0.019307059554335,0.955389322675748,0.00537831013993789,0.0181350888245522,0.0151837859613397,0.96130281507417
0.5,1,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.034868902072121,0.0531464026720619,0.0649911359431511,0.846993559312666,0.021217681873058,0.0521074597745725,0.0455590781024019,0.881115780249968
0.5,2,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.131821648774822,0.16709383469261,0.181196626734883,0.519887889797684,0.0791303949320065,0.171505683614919,0.140069138337921,0.609294783115154
1,0.5,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.00770918612251867,0.0175944372040366,0.0193070655446087,0.955389311128836,0.00744372034585731,0.022878747365002,0.0201877338155653,0.949489798473575
1,1,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.034868878822702,0.0531464502431262,0.0649911726760635,0.846993498258108,0.0216475881444022,0.0527025122913312,0.0474870308015852,0.878162868762681
1,2,10000,0.265632414837219,0.235989515911985,0.302420767389295,0.195957301861501,0.131821552220271,0.167094008166516,0.181196755587465,0.519887684025748,0.0739303820163622,0.159609970721308,0.134571273437463,0.631888373824867
